product_id,category,price,cost
PROD_1,Electronics,203.49,88.33190307164604
PROD_2,Sports,143.76,63.34572084941026
PROD_3,Electronics,453.37,202.822389696888
PROD_4,Sports,470.78,273.6737203952731
PROD_5,Home,121.26,80.0392529268915
PROD_6,Electronics,133.1,83.21710218349814
PROD_7,Clothing,243.28,118.64269158186903
PROD_8,Clothing,187.43,81.04163871295522
PROD_9,Electronics,17.22,9.420707649859482
PROD_10,Electronics,358.57,230.34429396352922
PROD_11,Sports,176.57,100.21149769215955
PROD_12,Clothing,50.49,34.29221675524835
PROD_13,Clothing,295.59,175.43218961770194
PROD_14,Sports,121.97,87.51582053709471
PROD_15,Electronics,424.51,300.0227881464475
PROD_16,Home,436.58,280.80418050626116
PROD_17,Clothing,463.68,313.81457141283835
PROD_18,Electronics,232.14,125.02681199181073
PROD_19,Clothing,364.77,284.1875728265269
PROD_20,Clothing,107.99,64.06871910809102
PROD_21,Home,35.68,15.368704466331838
PROD_22,Clothing,373.18,152.33847092490498
PROD_23,Clothing,42.5,18.167941915630806
PROD_24,Sports,335.59,170.80571876840676
PROD_25,Electronics,60.13,34.63556558651807
PROD_26,Sports,262.48,127.35481143268177
PROD_27,Electronics,480.37,238.34098570779489
PROD_28,Electronics,369.04,253.08758021003572
PROD_29,Sports,127.26,82.66829116202503
PROD_30,Electronics,50.59,35.74629871909443
PROD_31,Home,377.19,223.83760943705275
PROD_32,Home,485.89,236.2546766009218
PROD_33,Electronics,405.74,323.6460177920229
PROD_34,Clothing,66.51,31.516490891359794
PROD_35,Electronics,114.15,58.72039274911799
PROD_36,Electronics,324.21,250.1309774647581
PROD_37,Electronics,499.03,372.7746815952635
PROD_38,Sports,425.85,278.4446798735225
PROD_39,Clothing,197.1,143.29108729609842
PROD_40,Home,262.94,123.27226301713071
PROD_41,Electronics,308.97,140.371200650221
PROD_42,Electronics,223.72,126.3849626846265
PROD_43,Home,478.41,218.9531168902549
PROD_44,Home,493.78,347.6433672849165
PROD_45,Electronics,219.15,166.0841927637874
PROD_46,Clothing,472.56,252.24303133007237
PROD_47,Sports,239.04,146.87632660690426
PROD_48,Home,292.37,157.97489108868638
PROD_49,Electronics,23.55,15.152620784188823
PROD_50,Electronics,350.34,276.9022040745539
PROD_51,Electronics,96.42,75.0904356957513
PROD_52,Electronics,215.71,100.59119343004195
PROD_53,Sports,69.54,47.512819596710536
PROD_54,Home,320.76,245.92108944945468
PROD_55,Sports,228.46,115.34833956769609
PROD_56,Sports,218.45,135.7646165487115
PROD_57,Electronics,361.02,235.7818944454025
PROD_58,Home,93.44,39.450680703071136
PROD_59,Home,450.63,289.8206538296441
PROD_60,Electronics,348.16,141.96739717783217
PROD_61,Sports,36.97,15.201408197986515
PROD_62,Electronics,136.19,103.33211432526407
PROD_63,Electronics,52.98,35.465154570763296
PROD_64,Home,312.16,175.58749035252436
PROD_65,Electronics,213.47,166.2178417298942
PROD_66,Clothing,347.73,207.7533958994882
PROD_67,Sports,50.76,26.163908989677314
PROD_68,Home,118.92,86.84297101300452
PROD_69,Sports,112.5,53.931337158282815
PROD_70,Sports,36.39,19.605640347612525
PROD_71,Electronics,65.41,47.09805993371443
PROD_72,Electronics,335.4,213.58582410286135
PROD_73,Clothing,124.92,62.75244541558605
PROD_74,Home,79.19,51.112211742739646
PROD_75,Clothing,347.99,237.7010035631731
PROD_76,Electronics,125.12,84.56315692400712
PROD_77,Clothing,433.16,218.01286045151778
PROD_78,Electronics,486.36,298.9031265144274
PROD_79,Sports,57.1,32.9533803708201
PROD_80,Clothing,413.37,222.5537146241978
PROD_81,Electronics,452.7,207.9957599584107
PROD_82,Sports,218.06,98.66550238510504
PROD_83,Electronics,322.85,200.31988216420012
PROD_84,Home,397.88,197.67249167656965
PROD_85,Home,489.21,323.8667944873444
PROD_86,Sports,473.54,310.88178544844436
PROD_87,Clothing,481.28,333.2069819492292
PROD_88,Home,60.96,41.6098072917294
PROD_89,Electronics,17.77,11.084843590775277
PROD_90,Electronics,489.08,364.4011168151513
PROD_91,Home,481.52,318.74380648074225
PROD_92,Sports,307.82,176.35643010009252
PROD_93,Electronics,341.51,163.04254139755287
PROD_94,Sports,61.92,25.881718903781778
PROD_95,Clothing,231.31,134.00582117657638
PROD_96,Electronics,204.08,126.26989782183269
PROD_97,Sports,157.01,98.9286697479421
PROD_98,Home,290.76,210.17266325826802
PROD_99,Electronics,470.13,326.14616147560383
PROD_100,Sports,308.16,174.92734982042026
