customer_id,signup_date,segment,country,churned
CUST_1,2022-05-21,Basic,Germany,True
CUST_2,2022-11-19,Basic,USA,False
CUST_3,2023-10-11,Basic,Germany,False
CUST_4,2024-03-31,Basic,USA,True
CUST_5,2022-03-10,Basic,Germany,False
CUST_6,2022-11-01,Premium,Germany,False
CUST_7,2023-08-24,Basic,USA,False
CUST_8,2023-09-19,Premium,UK,False
CUST_9,2022-08-12,Basic,USA,True
CUST_10,2022-06-14,Basic,Germany,False
CUST_11,2023-11-03,Basic,India,False
CUST_12,2023-05-16,Premium,Germany,False
CUST_13,2022-07-22,Basic,USA,False
CUST_14,2023-11-20,Premium,Germany,False
CUST_15,2024-01-07,Basic,Germany,False
CUST_16,2023-08-17,Premium,Germany,False
CUST_17,2023-07-01,Basic,Germany,False
CUST_18,2022-04-26,Premium,UK,False
CUST_19,2024-03-22,Basic,UK,False
CUST_20,2022-02-18,Basic,Germany,False
CUST_21,2023-09-23,Premium,UK,False
CUST_22,2022-12-03,Basic,India,True
CUST_23,2024-03-19,Premium,USA,False
CUST_24,2022-10-02,Premium,Germany,False
CUST_25,2022-01-09,Premium,USA,False
CUST_26,2022-02-10,Basic,India,False
CUST_27,2022-11-05,Basic,UK,False
CUST_28,2024-04-18,Premium,India,False
CUST_29,2023-03-21,Basic,India,False
CUST_30,2022-09-03,Premium,Germany,False
CUST_31,2022-09-19,Basic,UK,False
CUST_32,2024-05-22,Basic,India,True
CUST_33,2023-07-27,Basic,UK,True
CUST_34,2022-08-09,Basic,Germany,True
CUST_35,2023-06-12,Basic,USA,False
CUST_36,2024-06-17,Basic,USA,True
CUST_37,2022-07-10,Basic,India,False
CUST_38,2023-03-02,Basic,USA,False
CUST_39,2024-05-25,Basic,USA,False
CUST_40,2023-07-22,Basic,Germany,True
CUST_41,2022-04-09,Basic,Germany,True
CUST_42,2022-07-11,Basic,Germany,True
CUST_43,2023-12-22,Basic,USA,True
CUST_44,2022-07-19,Basic,UK,False
CUST_45,2023-01-30,Basic,India,False
CUST_46,2024-05-29,Premium,India,False
CUST_47,2022-04-15,Basic,UK,True
CUST_48,2024-01-15,Basic,USA,True
CUST_49,2023-02-22,Premium,India,False
